Reset,left_occupied,left_angle,left_offset,left_size,left_width,left_length,left_has_pillar,right_occupied,right_angle,right_offset,right_size,right_width,right_length,right_has_pillar,goal_lane_index,goal_position_x,goal_position_y,goal_heading,controlled_x,controlled_y,controlled_width,controlled_length,step,done,agent_angle_score,agent_angle_tier,agent_angle_deg
Reset 8100,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 1)",4.75,-8.75,-1.5707963267948966,-2.6368109838558604,0.0,2.0,4.8,12,True,23.552281267959586,beginner,18.223859366020207
Reset 8101,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",4.75,8.75,1.5707963267948966,-5.378379675190182,0.0,2.0,4.8,15,True,34.13620039959506,beginner,12.93189980020247
Reset 8102,1,0.12629445003356188,0.0,0,2.0,4.3,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 5)",20.75,-8.5,-1.5707963267948966,-8.904110192008432,0.0,2.0,4.8,23,True,33.35166122839182,beginner,13.324169385804089
Reset 8103,1,-0.12327960202480726,0.0,1,2.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 2)",8.25,-8.75,-1.5707963267948966,-5.308468411757376,0.0,2.0,4.3,16,True,36.878060204910035,beginner,11.560969897544982
Reset 8104,0,0.0,0.0,0,0.0,0.0,0,1,-0.06575821548547767,0.0,0,2.0,4.3,0,"('b', 'c', 0)",1.25,-8.75,-1.5707963267948966,-5.565348471614487,0.0,2.0,4.3,12,True,22.496928790571275,beginner,18.751535604714363
Reset 8105,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 0)",1.25,-8.75,-1.5707963267948966,-3.6100618676090637,0.0,2.0,4.8,11,True,30.1703976045399,beginner,14.91480119773005
Reset 8106,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('b', 'c', 5)",20.75,-8.5,-1.5707963267948966,-9.23920031999092,0.0,2.0,4.8,23,True,31.429145939725288,beginner,14.285427030137356
Reset 8107,0,0.0,0.0,0,0.0,0.0,0,1,0.15287839189603747,0.0,1,2.0,4.8,0,"('b', 'c', 7)",17.25,8.75,1.5707963267948966,-7.422359875079835,0.0,2.0,4.8,22,True,43.11674151801843,intermediate,9.610407310247696
Reset 8108,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,"('a', 'b', 1)",4.75,8.75,1.5707963267948966,-7.3286613752767344,0.0,2.0,4.3,15,True,39.66506684556349,beginner,10.167466577218256
Reset 8109,1,0.16443362744418377,0.0,1,2.0,4.8,0,1,-0.019170640669233796,0.0,1,2.0,4.8,0,"('b', 'c', 6)",13.75,8.75,1.5707963267948966,-9.334624333889519,0.0,2.0,4.3,21,True,37.2308069940855,beginner,11.384596502957253
